,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-20
Algarrobo,1,0,1,1,5,0,1,7,3,2,5,8,1,4,0,1,3,5,3,2,3,5,2,0,4,4,2,3,4,1,1,6,11,0,2,4,0,3,3,2,7,3,2,5,3,1,3,2,1,0,2,0,5,1,1,8,3,1,4,2,8,7,7,5,3,0,1,6,4,2,0,2,0,6,7,5,5,10,4,7,7,6,9,7,3,7,9,2,4,0,1,3,0,5,3,4,6,1,0,0,4,5,2,0,4,9,2,1,10,1,3,2,1,1,0,4,1,5,7,7,3,0,6,0,8,8,2,5,3,9,0,5,5,3,4,4,3,3,2,2,6,1,3,1,9,1,0,7,1,2,1,1,2,1,3,5,0,2,6,2,3,4,2,0,1,1,0,3,0,1,2,1,0,1,0,0,2,0,0,0,1,2,1,0,1,2,4,2,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Cabildo,2,0,1,0,0,2,0,1,0,0,5,1,1,3,0,2,0,2,3,4,2,2,0,0,3,4,3,0,0,3,5,4,4,8,4,5,3,2,0,7,1,10,5,3,4,8,9,4,3,6,0,0,0,3,1,1,5,0,2,2,0,6,5,3,1,3,6,0,3,3,3,2,5,1,2,0,1,3,0,2,2,1,3,1,2,5,1,2,1,5,6,4,0,1,2,7,0,4,0,0,1,0,1,8,5,5,4,1,2,5,3,3,4,4,8,1,4,6,2,6,3,1,7,7,7,3,6,2,1,6,10,9,4,11,4,1,0,15,6,13,4,1,1,4,5,6,5,9,4,1,1,4,4,7,17,2,0,2,7,9,6,3,3,0,2,0,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,4,1,2,1,0,0,2,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0
Calle Larga,0,0,1,0,1,2,5,0,1,0,0,0,0,4,0,1,0,1,2,2,0,1,0,0,2,3,2,1,1,1,0,4,3,3,8,3,0,0,4,0,1,11,4,0,1,3,7,3,5,3,0,2,5,1,1,1,16,1,0,2,5,2,7,2,3,0,1,5,2,5,3,3,1,1,11,5,3,5,1,2,2,6,2,6,2,3,5,4,7,0,3,5,0,3,2,12,1,6,1,2,0,3,4,0,4,0,1,7,6,5,2,5,4,0,5,15,5,7,8,3,2,3,10,5,8,9,8,9,5,13,4,8,7,9,3,4,3,15,7,7,4,0,1,3,5,0,8,1,2,0,2,4,5,1,1,0,2,1,4,4,3,1,0,3,2,0,0,0,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,1,5,0,0,4,1,1,0,0,2,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0
Cartagena,2,1,1,6,4,1,5,5,4,0,10,4,3,4,0,1,2,5,5,4,1,0,0,0,12,4,1,11,6,9,2,5,5,6,7,5,5,1,8,4,4,2,3,4,0,12,14,5,11,5,1,1,11,1,9,6,4,1,2,12,5,8,12,2,5,4,15,9,10,6,7,9,2,10,6,13,17,12,10,2,9,4,11,9,7,3,4,8,4,8,1,3,2,2,15,15,6,7,18,6,5,13,4,10,14,10,2,4,22,21,19,11,4,6,6,9,13,8,9,7,10,9,15,11,7,6,25,13,12,12,11,11,16,5,8,15,18,24,12,14,28,4,15,2,15,10,9,1,4,5,5,2,9,5,8,7,4,8,4,7,5,2,3,1,3,7,3,4,1,2,1,3,2,4,6,3,2,0,4,4,3,0,2,5,0,8,5,4,4,2,4,0,6,2,3,1,3,2,2,2,2,0,2,3,0,2,2,5,0,2,3,1,2,7,0,2,0,0,0,1,0,1,0,0,1,2,5,0
Casablanca,5,0,2,6,2,6,4,7,3,2,5,1,2,0,2,1,0,2,1,4,3,0,0,2,2,3,4,5,3,1,2,7,2,5,3,2,3,2,1,7,0,0,4,1,1,12,2,3,7,8,10,7,14,7,5,3,18,3,0,21,3,5,4,6,5,6,8,5,11,6,4,1,5,4,9,9,6,0,9,2,9,1,1,2,5,4,2,3,1,2,3,1,1,0,7,2,3,1,8,1,6,4,2,6,10,6,1,4,8,12,7,7,6,3,7,13,8,10,5,2,5,7,14,14,7,1,7,2,7,2,6,3,5,9,4,5,7,8,3,6,5,6,1,1,4,4,0,1,1,2,3,7,5,4,2,1,3,6,4,7,2,2,1,0,3,0,0,2,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catemu,3,2,0,0,1,1,4,1,3,1,2,6,4,0,0,4,6,3,1,7,1,1,0,0,0,1,6,4,5,4,2,0,5,5,1,11,5,1,1,0,2,1,0,0,1,2,2,6,0,7,5,2,4,4,5,9,6,2,1,2,7,6,9,21,5,6,8,3,18,8,8,7,0,5,0,9,1,1,1,2,3,2,6,5,0,9,1,3,5,3,4,2,0,1,2,0,2,1,2,0,0,1,2,3,0,4,4,4,2,5,3,0,6,0,1,1,0,2,1,5,2,1,0,7,3,0,0,4,13,6,0,14,3,6,10,11,7,6,0,4,3,7,4,1,4,0,11,9,5,8,4,8,1,5,5,1,1,5,5,1,0,3,1,2,1,2,0,2,4,2,1,0,1,3,0,3,0,2,1,3,0,1,1,1,0,2,5,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concón,9,0,3,2,5,3,1,4,3,4,5,6,2,11,6,0,4,4,4,2,6,4,2,2,2,4,2,8,2,4,4,2,7,7,16,8,8,9,15,6,13,0,9,7,8,15,18,17,11,2,7,15,23,16,12,12,3,16,11,18,12,11,16,5,1,13,20,15,7,18,2,14,12,10,15,6,12,9,2,6,7,10,20,7,15,2,12,14,3,9,9,5,2,2,20,4,3,15,5,1,2,8,4,6,9,7,1,6,17,7,12,0,0,3,5,11,12,7,4,4,8,6,6,12,14,10,8,2,13,10,4,10,15,5,3,9,9,8,10,5,13,2,7,2,6,8,15,2,5,3,7,1,6,9,4,4,6,4,3,4,3,1,1,3,3,0,3,5,1,1,1,3,3,2,3,1,3,1,1,1,4,4,1,0,1,0,5,3,0,2,0,0,2,0,0,2,3,0,1,3,2,3,1,1,0,0,1,1,2,3,0,0,0,2,0,1,1,0,1,0,1,1,1,1,2,0,1,0
El Quisco,1,1,0,3,6,0,3,3,0,3,9,2,2,3,0,1,0,1,1,1,0,3,5,3,0,7,5,4,1,3,2,5,3,2,8,7,1,7,5,2,1,1,5,0,1,4,1,5,0,5,0,5,3,2,0,3,3,0,4,3,1,4,2,4,1,6,1,2,6,1,2,3,4,13,6,4,5,4,2,0,2,1,3,5,4,3,6,11,2,5,5,8,3,0,10,8,6,8,3,3,1,2,3,10,4,4,0,4,7,2,7,8,5,8,0,9,15,7,8,9,5,4,9,6,9,5,8,10,4,6,16,30,23,12,2,16,10,9,10,9,8,7,2,4,6,4,6,2,2,3,0,5,3,5,5,3,2,1,3,0,3,1,0,2,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1,1,2,5,4,1,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
El Tabo,1,2,1,2,1,3,5,1,3,2,3,4,5,7,4,4,1,7,2,8,0,0,0,1,11,2,1,4,3,9,3,1,3,4,4,1,2,5,2,1,1,2,3,2,1,3,3,6,2,4,2,1,4,6,4,9,12,2,2,5,2,8,2,6,2,6,5,6,4,3,1,2,0,3,3,11,1,1,1,3,3,1,6,9,5,4,1,2,3,3,5,2,3,0,4,5,1,2,3,4,2,8,5,8,1,3,1,4,3,2,8,3,4,1,6,6,5,4,1,6,2,4,0,7,11,5,9,8,3,1,12,13,8,7,9,5,2,13,0,13,35,4,10,7,5,10,13,9,7,6,3,2,8,6,4,0,1,3,1,5,5,1,2,2,1,3,2,5,0,3,0,5,1,0,0,1,0,0,1,1,3,0,2,0,0,1,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0
Hijuelas,0,0,0,3,0,0,1,0,3,0,0,2,1,0,4,0,2,2,0,1,1,0,0,2,2,4,3,4,0,4,2,2,3,5,1,1,2,0,4,3,1,2,5,1,3,0,3,0,3,1,4,1,9,3,3,5,5,0,0,5,3,8,13,14,0,4,2,15,11,3,8,7,1,0,11,0,7,14,2,4,8,5,8,0,15,9,18,6,8,7,11,1,12,3,10,4,6,5,5,1,6,9,7,2,9,1,7,3,7,6,5,0,1,1,3,5,1,3,1,2,3,3,2,10,2,0,1,2,3,4,4,6,2,1,5,3,5,4,7,4,4,2,0,2,3,1,1,0,0,1,3,1,3,3,0,2,6,2,2,0,0,1,0,0,3,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1,0,3,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,1,0,0
